sep=;
time;model_id;model_name;port_name;data
0;15;(6,8);outputNeighborhood;<10,5,0,0,1,0,0,0>
0;15;(6,8);;<10,5,0,0,1,0,0,0>
0;16;(5,8);outputNeighborhood;<10,5,0,0,1,0,0,0>
0;16;(5,8);;<10,5,0,0,1,0,0,0>
0;17;(9,7);outputNeighborhood;<10,5,0,0,1,0,0,0>
0;17;(9,7);;<10,5,0,0,1,0,0,0>
0;18;(8,7);outputNeighborhood;<10,5,0,0,1,0,0,0>
0;18;(8,7);;<10,5,0,0,1,0,0,0>
0;19;(9,9);outputNeighborhood;<10,5,0,0,1,0,0,0>
0;19;(9,9);;<10,5,0,0,1,0,0,0>
0;20;(6,7);outputNeighborhood;<10,5,0,0,1,0,0,0>
0;20;(6,7);;<10,5,0,0,1,0,0,0>
0;21;(9,6);outputNeighborhood;<10,5,0,0,1,0,0,0>
0;21;(9,6);;<10,5,0,0,1,0,0,0>
0;22;(6,6);outputNeighborhood;<10,5,0,0,1,0,0,0>
0;22;(6,6);;<10,5,0,0,1,0,0,0>
0;23;(5,6);outputNeighborhood;<10,5,0,0,1,0,0,0>
0;23;(5,6);;<10,5,0,0,1,0,0,0>
0;24;(8,5);outputNeighborhood;<10,5,0,0,1,0,0,0>
0;24;(8,5);;<10,5,0,0,1,0,0,0>
0;25;(7,5);outputNeighborhood;<10,5,0,0,1,0,0,0>
0;25;(7,5);;<10,5,0,0,1,0,0,0>
0;26;(6,5);outputNeighborhood;<10,5,0,0,1,0,0,0>
0;26;(6,5);;<10,5,0,0,1,0,0,0>
0;27;(1,5);outputNeighborhood;<10,5,0,0,1,0,0,0>
0;27;(1,5);;<10,5,0,0,1,0,0,0>
0;28;(1,4);outputNeighborhood;<10,5,0,0,1,0,0,0>
0;28;(1,4);;<10,5,0,0,1,0,0,0>
0;29;(9,3);outputNeighborhood;<10,5,0,0,1,0,0,0>
0;29;(9,3);;<10,5,0,0,1,0,0,0>
0;30;(6,3);outputNeighborhood;<10,5,0,0,1,0,0,0>
0;30;(6,3);;<10,5,0,0,1,0,0,0>
0;31;(5,3);outputNeighborhood;<10,5,0,0,1,0,0,0>
0;31;(5,3);;<10,5,0,0,1,0,0,0>
0;32;(0,4);outputNeighborhood;<10,5,0,0,1,0,0,0>
0;32;(0,4);;<10,5,0,0,1,0,0,0>
0;33;(4,3);outputNeighborhood;<10,5,0,0,1,0,0,0>
0;33;(4,3);;<10,5,0,0,1,0,0,0>
0;34;(8,9);outputNeighborhood;<10,5,0,0,1,0,0,0>
0;34;(8,9);;<10,5,0,0,1,0,0,0>
0;35;(2,1);outputNeighborhood;<10,5,1,0,1,0,0,0>
0;35;(2,1);;<10,5,1,0,1,0,0,0>
0;36;(0,5);outputNeighborhood;<10,5,0,0,1,0,0,0>
0;36;(0,5);;<10,5,0,0,1,0,0,0>
0;37;(3,4);outputNeighborhood;<10,5,0,0,1,0,0,0>
0;37;(3,4);;<10,5,0,0,1,0,0,0>
0;38;(4,7);outputNeighborhood;<70,28,0,0,2,2,0.8,0.3>
0;38;(4,7);;<70,28,0,0,2,2,0.8,0.3>
0;39;(3,0);outputNeighborhood;<10,5,0,0,1,0,0,0>
0;39;(3,0);;<10,5,0,0,1,0,0,0>
0;40;(4,4);outputNeighborhood;<10,5,1,0,1,0,0,0>
0;40;(4,4);;<10,5,1,0,1,0,0,0>
0;41;(4,5);outputNeighborhood;<10,5,1,0,1,0,0,0>
0;41;(4,5);;<10,5,1,0,1,0,0,0>
